entry,at,order
"The player ""teddy @ kOMtSCwNxC"" quits the game with a stack of 0.00.",2023-02-17T19:03:29.190Z,1.68E+14
-- ending hand #106 --,2023-02-17T19:03:21.181Z,1.68E+14
"""dere @ IB1rRLac0F"" collected 32.02 from pot with A High on the second run  (combination: A♠, K♥, J♦, 10♥, 7♠)",2023-02-17T19:03:21.181Z,1.68E+14
"""dere @ IB1rRLac0F"" collected 32.02 from pot with Pair, 10's (combination: 10♦, 10♠, K♦, J♦, 8♥)",2023-02-17T19:03:21.181Z,1.68E+14
"River (second run): 7♠, 2♠, A♠, K♥ [10♥]",2023-02-17T19:03:17.074Z,1.68E+14
"Turn (second run): 7♠, 2♠, A♠ [K♥]",2023-02-17T19:03:13.034Z,1.68E+14
"Flop (second run):  [7♠, 2♠, A♠]",2023-02-17T19:03:09.020Z,1.68E+14
"River: 8♥, K♦, 5♦, 10♦ [10♠]",2023-02-17T19:03:05.015Z,1.68E+14
"Turn: 8♥, K♦, 5♦ [10♦]",2023-02-17T19:03:01.006Z,1.68E+14
"Flop:  [8♥, K♦, 5♦]",2023-02-17T19:02:57.003Z,1.68E+14
"""teddy @ kOMtSCwNxC"" shows a 9♥, 4♦.",2023-02-17T19:02:52.970Z,1.68E+14
"""dere @ IB1rRLac0F"" shows a 6♥, J♦.",2023-02-17T19:02:52.970Z,1.68E+14
All players in hand choose to run it twice.,2023-02-17T19:02:52.145Z,1.68E+14
"""teddy @ kOMtSCwNxC"" chooses to  run it twice.",2023-02-17T19:02:52.145Z,1.68E+14
"""dere @ IB1rRLac0F"" chooses to  run it twice.",2023-02-17T19:02:51.891Z,1.68E+14
Remaining players decide whether to run it twice.,2023-02-17T19:02:51.225Z,1.68E+14
"""dere @ IB1rRLac0F"" calls 32.02",2023-02-17T19:02:51.225Z,1.68E+14
"""teddy @ kOMtSCwNxC"" raises to 32.02 and go all in",2023-02-17T19:02:50.112Z,1.68E+14
"""dere @ IB1rRLac0F"" posts a big blind of 0.08",2023-02-17T19:02:46.929Z,1.68E+14
"""teddy @ kOMtSCwNxC"" posts a small blind of 0.04",2023-02-17T19:02:46.929Z,1.68E+14
"Player stacks: #1 ""dere @ IB1rRLac0F"" (103.94) | #2 ""teddy @ kOMtSCwNxC"" (32.02)",2023-02-17T19:02:46.929Z,1.68E+14
"-- starting hand #106 (id: brnwjicvywzb)  (No Limit Texas Hold'em) (dealer: ""teddy @ kOMtSCwNxC"") --",2023-02-17T19:02:46.929Z,1.68E+14
-- ending hand #105 --,2023-02-17T19:02:38.921Z,1.68E+14
"""dere @ IB1rRLac0F"" collected 32.02 from pot with Straight, 8 High on the second run  (combination: 8♠, 7♦, 6♥, 5♣, 4♠)",2023-02-17T19:02:38.921Z,1.68E+14
"""teddy @ kOMtSCwNxC"" collected 32.02 from pot with Flush, 10d High (combination: 10♦, 9♦, 5♦, 4♦, 3♦, 2♦)",2023-02-17T19:02:38.921Z,1.68E+14
"River (second run): 5♣, 6♥, J♠, 2♥ [8♠]",2023-02-17T19:02:34.832Z,1.68E+14
"Turn (second run): 5♣, 6♥, J♠ [2♥]",2023-02-17T19:02:30.792Z,1.68E+14
"Flop (second run):  [5♣, 6♥, J♠]",2023-02-17T19:02:26.717Z,1.68E+14
"River: 5♦, 10♦, 4♦, 4♥ [2♦]",2023-02-17T19:02:22.712Z,1.68E+14
"Turn: 5♦, 10♦, 4♦ [4♥]",2023-02-17T19:02:18.622Z,1.68E+14
"Flop:  [5♦, 10♦, 4♦]",2023-02-17T19:02:14.586Z,1.68E+14
"""teddy @ kOMtSCwNxC"" shows a 9♦, 3♦.",2023-02-17T19:02:10.504Z,1.68E+14
"""dere @ IB1rRLac0F"" shows a 7♦, 4♠.",2023-02-17T19:02:10.504Z,1.68E+14
All players in hand choose to run it twice.,2023-02-17T19:02:09.625Z,1.68E+14
"""teddy @ kOMtSCwNxC"" chooses to  run it twice.",2023-02-17T19:02:09.625Z,1.68E+14
"""dere @ IB1rRLac0F"" chooses to  run it twice.",2023-02-17T19:02:09.488Z,1.68E+14
Remaining players decide whether to run it twice.,2023-02-17T19:02:08.744Z,1.68E+14
"""teddy @ kOMtSCwNxC"" calls 32.02 and go all in",2023-02-17T19:02:08.744Z,1.68E+14
"""dere @ IB1rRLac0F"" raises to 32.02",2023-02-17T19:02:07.885Z,1.68E+14
"""teddy @ kOMtSCwNxC"" posts a big blind of 0.08",2023-02-17T19:02:06.177Z,1.68E+14
